都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,文化財分類,所在地,電話番号,所有者等,文化財指定日,備考
202142,400080001,長野県,茅野市,尖石石器時代遺跡,トガリイシセッキジダイイセキ,国特別史跡,長野県茅野市豊平南大塩,0266-76-2386,茅野市ほか,1952/3/29,1993/4/6追加指定
202142,400080002,長野県,茅野市,上之段石器時代遺跡,ウエノダンセッキジダイイセキ,国史跡,長野県茅野市北山湯川,0266-76-2386,茅野市,1942/10/14,
202142,400080003,長野県,茅野市,駒形遺跡,コマガタイセキ,国史跡,長野県茅野市米沢北大塩,0266-76-2386,茅野市ほか,1998/1/16,2014/10/6、2015/10/7追加指定
202142,400080004,長野県,茅野市,高島藩主諏訪家墓所,タカシマハンシュスワケボショ,国史跡,長野県茅野市ちの上原,0266-76-2386,賴岳寺,2017/2/9,
202142,400080005,長野県,茅野市,土偶　１箇,ドグウ　1コ,国宝（考古資料）,長野県茅野市豊平東嶽（尖石縄文考古館）,0266-76-2386,茅野市,1995/6/15,
202142,400080006,長野県,茅野市,土偶　１箇　附 土器　８点,ドグウ　1コ　ツケタリ　ドキ　8テン,国宝（考古資料）,長野県茅野市豊平東嶽（尖石縄文考古館）,0266-76-2386,茅野市,2014/8/21,
202142,400080007,長野県,茅野市,カモシカ,カモシカ,国特別天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1955/2/15,
202142,400080008,長野県,茅野市,イヌワシ,イヌワシ,国天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1965/5/12,
202142,400080009,長野県,茅野市,ヤマネ,ヤマネ,国天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1975/6/26,
202142,400080010,長野県,茅野市,紙本墨書守矢家文書　155点,シホンボクショモリヤケモンジョ　155テン,長野県宝（古文書）,神長官守矢史料館,0266-76-2386,個人,1966/8/11,
202142,400080011,長野県,茅野市,白岩観音堂　１棟,シライワカンノンドウ　1トウ,長野県宝（建造物）,長野県茅野市ちの塚原,0266-76-2386,塚原林野利用農業協同組合,1989/2/23,
202142,400080012,長野県,茅野市,信州の特色ある縄文土器（158点のうち47点）,シンシュウノトクショクアルジョウモンドキ　158テンノウチ47テン,長野県宝（考古資料）,長野県茅野市豊平東嶽ほか,0266-76-2386,茅野市（尖石縄文考古館保管）ほか,2018/9/27,
202142,400080013,長野県,茅野市,池ノ平御坐岩遺跡,イケノダイラゴザイワイセキ,長野県史跡,長野県茅野市北山柏原,0266-76-2386,柏原財産区,1962/9/27,
202142,400080014,長野県,茅野市,諏訪大社上社前宮神殿跡,スワタイシャカミシャマエミヤゴウドノアト,長野県史跡,長野県茅野市宮川安国寺,0266-76-2386,諏訪大社,1964/8/20,
202142,400080015,長野県,茅野市,諏訪氏城跡　上原城,スワシジョウセキ　ウエハラジョウ,長野県史跡,長野県茅野市ちの上原,0266-76-2386,上原区,1971/5/27,
202142,400080016,長野県,茅野市,諏訪大社の御柱祭り,スワタイシャノオンバシラマツリ,長野県無形民俗文化財,長野県茅野市茅野市　他,0266-76-2386,諏訪大社式年造営御柱大祭保存会,1994/8/16,
202142,400080017,長野県,茅野市,ミヤマシロチョウ等１０種,ミヤマシロチョウトウ１０シュ,長野県天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1975/2/24,
202142,400080018,長野県,茅野市,ホンシュウモモンガ,ホンシュウモモンガ,長野県天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1975/11/4,
202142,400080019,長野県,茅野市,ホンドオコジョ,ホンドオコジョ,長野県天然記念物（動物）,長野県茅野市地域定めず,0266-76-2386,,1975/11/4,
202142,400080020,長野県,茅野市,阿弥陀如来,アミダニョライ,茅野市有形文化財（彫刻）,長野県茅野市豊平南大塩,0266-76-2386,心光寺,1967/2/1,
202142,400080021,長野県,茅野市,阿弥陀如来,アミダニョライ,茅野市有形文化財（彫刻）,長野県茅野市豊平下古田,0266-76-2386,真徳寺,1967/2/1,
202142,400080022,長野県,茅野市,薬師如来,ヤクシニョライ,茅野市有形文化財（彫刻）,長野県茅野市玉川穴山,0266-76-2386,長円寺,1967/2/1,
202142,400080023,長野県,茅野市,古御堂の須弥壇と欄間,フルミドウノシュミダントランマ,茅野市有形文化財（彫刻）,長野県茅野市玉川北久保,0266-76-2386,北久保区,1967/2/1,
202142,400080024,長野県,茅野市,三輪神社,ミワジンジャ,茅野市有形文化財（彫刻）,長野県茅野市宮川茅野,0266-76-2386,東西三輪社総代代表,1967/2/1,
202142,400080025,長野県,茅野市,白山社の木造仏像　毘沙門天像　千手観音菩薩立像,ハクサンシャノモクゾウブツゾウ　ビシャモンテンゾウ　センジュカンノンボサツリュウゾウ,茅野市有形文化財（彫刻）,長野県茅野市豊平山寺,0266-76-2386,南大塩区,1967/10/5,
202142,400080026,長野県,茅野市,常願寺の木造仏像　大日如来坐像　馬頭観世音菩薩像,ジョウガンジノモクゾウブツゾウ　ダイニチニョライザゾウ　バトウカンゼオンボサツゾウ,茅野市有形文化財（彫刻）,長野県茅野市ちの横内,0266-76-2386,達屋酢蔵神社評議委員会,1967/10/5,
202142,400080027,長野県,茅野市,木造薬師如来像,モクゾウヤクシニョライゾウ,茅野市有形文化財（彫刻）,長野県茅野市北山湯川,0266-76-2386,功徳寺,1967/10/5,
202142,400080028,長野県,茅野市,日光月光菩薩立像,ニッコウガッコウボサツリュウゾウ,茅野市有形文化財（彫刻）,長野県茅野市泉野上槻木,0266-76-2386,槻木区,1986/6/24,
202142,400080029,長野県,茅野市,木造阿弥陀如来立像,モクゾウアミダニョライリュウゾウ,茅野市有形文化財（彫刻）,長野県茅野市玉川荒神,0266-76-2386,神之原下方組薬師庵,1986/6/24,
202142,400080030,長野県,茅野市,木造不動明王,モクゾウフドウミョウオウ,茅野市有形文化財（彫刻）,長野県茅野市玉川神之原,0266-76-2386,昌林寺,1986/6/24,
202142,400080031,長野県,茅野市,賓頭盧尊者像,ビンズルソンジャゾウ,茅野市有形文化財（彫刻）,長野県茅野市玉川神之原,0266-76-2386,昌林寺,1986/6/24,
202142,400080032,長野県,茅野市,木造普賢菩薩騎象像,モクゾウフゲンボサツキショウゾウ,茅野市有形文化財（彫刻）,長野県茅野市玉川神之原,0266-76-2386,昌林寺,1992/8/5,
202142,400080033,長野県,茅野市,木造十一面観世音菩薩立像 1躯,モクゾウジュウイチメンカンゼオンボサツリュウゾウ　1ク,茅野市有形文化財（彫刻）,長野県茅野市宮川田沢,0266-76-2386,田沢区,1995/10/2,
202142,400080034,長野県,茅野市,頼岳寺宝琥珀観音像  他二点,ライガクジホウコハクカンノンゾウ　ホカニテン,茅野市有形文化財（絵画彫刻）,長野県茅野市ちの上原,0266-76-2386,賴岳寺,1972/12/26,
202142,400080035,長野県,茅野市,槻ノ木新田開発関係文書,ツキノキシンデンカイハツカンケイモンジョ,茅野市有形文化財（古文書）,長野県茅野市泉野下槻木,0266-76-2386,槻木区,1967/2/1,
202142,400080036,長野県,茅野市,千野村関係文書　二書　二巻,チノムラカンケイモンジョ　ニショ　ニカン,茅野市有形文化財（古文書）,長野県茅野市宮川茅野,0266-76-2386,茅野林野利用農業協同組合・西茅野林野利用農業協同組合,1967/2/1,
202142,400080037,長野県,茅野市,山田新田開発文書　一書,ヤマダシンデンカイハツモンジョ　イッショ,茅野市有形文化財（古文書）,長野県茅野市豊平下古田（八ヶ岳総合博物）,0266-76-2386,個人,1967/2/1,
202142,400080038,長野県,茅野市,九頭井大夫古文書　二書,クズイダユウコモンジョ　ニショ,茅野市有形文化財（古文書）,長野県茅野市豊平下古田（八ヶ岳総合博物）,0266-76-2386,個人,1967/2/1,
202142,400080039,長野県,茅野市,諏訪頼忠法度　一巻,スワヨリタダハット　イッカン,茅野市有形文化財（古文書）,長野県茅野市宮川安国寺,0266-76-2386,安国寺区,1967/2/1,
202142,400080040,長野県,茅野市,神長守矢家文書　50点,ジンチョウモリヤケモンジョ　50テン,茅野市有形文化財（古文書）,神長官守矢史料館,0266-76-2386,個人,1981/3/31,
202142,400080041,長野県,茅野市,伊藤左千夫　蓼科山歌軸物,イトウサチオ　タテシナサンカジクモノ,茅野市有形文化財（筆跡）,長野県茅野市北山湯川,0266-76-2386,個人,1983/1/24,
202142,400080042,長野県,茅野市,応永の石碑,オウエイノセキヒ,茅野市有形文化財（建造物）,長野県茅野市宮川田沢,0266-76-2386,個人,1967/2/1,
202142,400080043,長野県,茅野市,神長守矢家祈祷殿,ジンチョウモリヤケキトウデン,茅野市有形文化財（建造物）,長野県茅野市宮川高部,0266-76-2386,個人,1981/3/31,
202142,400080044,長野県,茅野市,壷井八幡社,ツボイハチマンシャ,茅野市有形文化財（建造物）,長野県茅野市玉川山田,0266-76-2386,山田区,1985/7/16,
202142,400080045,長野県,茅野市,瀬神社（本殿）,セジンシャ(ホンデン),茅野市有形文化財（建造物）,長野県茅野市米沢塩沢,0266-76-2386,塩沢財産区,1988/7/29,
202142,400080046,長野県,茅野市,田沢稲荷神社拝殿,タザワイナリジンジャハイデン,茅野市有形文化財（建造物）,長野県茅野市宮川田沢,0266-76-2386,田沢区,1988/8/31,
202142,400080047,長野県,茅野市,槻木の舞台  １棟　附　引幕  ２枚,ツキノキノブタイ　1トウ　ツケタリ　ヒキマク2マイ,茅野市有形文化財（建造物）,長野県茅野市泉野下槻木,0266-76-2386,槻木区,1995/10/2,
202142,400080048,長野県,茅野市,瀬神社舞台  １棟　附　引幕  １枚,セジンジャブタイ　1トウ　ツケタリ　ヒキマク1マイ,茅野市有形文化財（建造物）,長野県茅野市米沢塩沢,0266-76-2386,塩沢区,1995/10/2,
202142,400080049,長野県,茅野市,七社明神社本殿,シチシャミョウジンシャホンデン,茅野市有形文化財（建造物）,長野県茅野市玉川神之原,0266-76-2386,神之原区,1996/5/24,
202142,400080050,長野県,茅野市,大天白社本殿,ダイテンパクシャホンデン,茅野市有形文化財（建造物）,長野県茅野市ちの横内,0266-76-2386,大矢嶋氏,2001/3/1,
202142,400080051,長野県,茅野市,壷井八幡社立絵図　二幅,ツボイハチマンシャタチエズ　ニフク,茅野市有形文化財（その他歴史資料）,長野県茅野市玉川山田,0266-76-2386,山田区,1993/10/29,
202142,400080052,長野県,茅野市,上筋新汐絵図面,カミスジシンセギエズメン,茅野市有形文化財（その他歴史資料）,長野県茅野市宮川田沢,0266-76-2386,田沢区,1999/2/24,
202142,400080053,長野県,茅野市,坂本養川の水廻し計画絵図,サカモトヨウセンノミズマワシケイカクエズ,茅野市有形文化財（その他歴史資料）,長野県茅野市泉野下槻木,0266-76-2386,槻木区,1999/2/24,
202142,400080054,長野県,茅野市,エーヨー節,エーヨーブシ,茅野市無形文化財（芸能）,長野県茅野市茅野市,0266-76-2386,エーヨー節・天屋節保存会,2010/3/1,
202142,400080055,長野県,茅野市,天屋節,テンヤブシ,茅野市無形文化財（芸能）,長野県茅野市茅野市,0266-76-2386,エーヨー節・天屋節保存会,2010/3/1,
202142,400080056,長野県,茅野市,どぶろく祭り（矢ヶ崎祭）独活祭,ドブロクマツリ(ヤガサキマツリ)ウドマツリ,茅野市民俗文化財（風俗慣習）,長野県茅野市ちの本町,0266-76-2386,本町区,1967/2/1,
202142,400080057,長野県,茅野市,上古田の火とぼし,カミフッタノヒトボシ,茅野市民俗文化財（風俗慣習）,長野県茅野市豊平上古田,0266-76-2386,上古田区,1985/7/16,
202142,400080058,長野県,茅野市,長円寺の石仏（百観音外23体２基）,チョウエンジノセキブツ(ヒャクカンノンホカ23タイ2キ),茅野市民俗文化財（信仰）,長野県茅野市玉川穴山,0266-76-2386,長円寺,1977/12/1,
202142,400080059,長野県,茅野市,横内笠地蔵,ヨコウチカサジゾウ,茅野市民俗文化財（信仰）,長野県茅野市ちの横内,0266-76-2386,横内評議委員会,1982/2/26,
202142,400080060,長野県,茅野市,塩沢辻牛頭天王,シオザワツジゴズテンノウ,茅野市民俗文化財（信仰）,長野県茅野市米沢塩沢,0266-76-2386,塩沢区,1982/4/30,
202142,400080061,長野県,茅野市,白井出の馬頭観世音,シライデノバトウカンゼオン,茅野市民俗文化財（信仰）,長野県茅野市湖東白井出,0266-76-2386,白井出区,1983/1/24,
202142,400080062,長野県,茅野市,明治初期の写真機と種板,メイジショキノシャシンキトタネイタ,茅野市民俗文化財（娯楽）,長野県茅野市ちの上原,0266-76-2386,個人,1983/1/24,
202142,400080063,長野県,茅野市,御小屋之久保遺跡,オコヤノクボイセキ,茅野市史跡（遺物包含地）,長野県茅野市北山柏原,0266-76-2386,柏原財産区,1967/2/1,
202142,400080064,長野県,茅野市,塚の越古墳,ツカノコシコフン,茅野市史跡（古墳）,長野県茅野市ちの本町,0266-76-2386,本町林野利用農業共同組合,1967/2/1,
202142,400080065,長野県,茅野市,釜石古墳,カマイシコフン,茅野市史跡（古墳）,長野県茅野市ちの塚原,0266-76-2386,茅野市,1967/2/1,
202142,400080066,長野県,茅野市,矢穴古墳,ヤアナコフン,茅野市史跡（古墳）,長野県茅野市ちの塚原,0266-76-2386,茅野市,1971/3/16,
202142,400080067,長野県,茅野市,栃窪岩陰遺跡,トチクボイワカゲイセキ,茅野市史跡（住居跡）,長野県茅野市北山柏原,0266-76-2386,個人,1971/3/16,
202142,400080068,長野県,茅野市,王経塚,オウギョウヅカ,茅野市史跡（古墳）,長野県茅野市ちの塚原,0266-76-2386,茅野市・本町林野利用農業協同組合,1977/12/1,
202142,400080069,長野県,茅野市,樋沢古墳,ヒザワコフン,茅野市史跡（古墳）,長野県茅野市宮川安国寺,0266-76-2386,茅野市,1977/12/1,
202142,400080070,長野県,茅野市,神長官裏古墳,ジンチョウカンウラコフン,茅野市史跡（古墳）,長野県茅野市宮川高部,0266-76-2386,個人,1977/12/1,
202142,400080071,長野県,茅野市,疱瘡神塚古墳,ホウソウガミヅカコフン,茅野市史跡（古墳）,長野県茅野市宮川高部,0266-76-2386,高部区,1999/2/24,
202142,400080072,長野県,茅野市,干沢城跡（主郭）,ヒザワジョウアト(シュカク),茅野市史跡（城跡）,長野県茅野市宮川安国寺,0266-76-2386,安国寺・安国寺区,1988/7/29,
202142,400080073,長野県,茅野市,朝倉山城跡,アサクラヤマジョウアト,茅野市史跡（城跡）,長野県茅野市米沢塩沢・北山湯川,0266-76-2386,塩沢財産区・湯川財産区,1988/8/31,
202142,400080074,長野県,茅野市,犬射原社,イヌイッパラシャ,茅野市史跡（祭祀に関する遺跡）,長野県茅野市ちの塚原,0266-76-2386,諏訪大社,1967/10/5,
202142,400080075,長野県,茅野市,御座石神社,ゴザイシジンジャ,茅野市史跡（祭祀に関する遺跡）,長野県茅野市ちの本町,0266-76-2386,本町区,1969/11/1,
202142,400080076,長野県,茅野市,酒室神社,サカムロジンジャ,茅野市史跡（祭祀に関する遺跡）,長野県茅野市宮川坂室,0266-76-2386,坂室区,1969/11/1,
202142,400080077,長野県,茅野市,葛井神社,クズイジンジャ,茅野市史跡（祭祀に関する遺跡）,長野県茅野市ちの上原,0266-76-2386,上原区,1994/12/26,
202142,400080078,長野県,茅野市,大年社,オオトシシャ,茅野市史跡（祭祀に関する遺跡）,長野県茅野市ちの駅前,0266-76-2386,本町区・諏訪大社,1994/12/26,
202142,400080079,長野県,茅野市,諏訪氏安国寺御廟所,スワシアンコクジゴビョウショ,茅野市史跡（その他）,長野県茅野市宮川安国寺,0266-76-2386,個人,1972/12/26,
202142,400080080,長野県,茅野市,権現の森,ゴンゲンノモリ,茅野市史跡（その他）,長野県茅野市金沢金沢,0266-76-2386,金沢区,1983/4/26,
202142,400080081,長野県,茅野市,多留姫の滝,タルヒメノタキ,茅野市名勝（瀑布）,長野県茅野市玉川中沢,0266-76-2386,中沢区・田道区ほか,1988/7/29,
202142,400080082,長野県,茅野市,杜鵑峡,トケンキョウ,茅野市名勝（峡谷）,長野県茅野市北山湯川,0266-76-2386,湯川財産区ほか,1928/7/29,
202142,400080084,長野県,茅野市,古御堂の枝垂桜,フルミドウノシダレザクラ,茅野市天然記念物（植物）,長野県茅野市玉川北久保,0266-76-2386,北久保区,1972/12/26,
202142,400080085,長野県,茅野市,傘松,カラカサマツ,茅野市天然記念物（植物）,長野県茅野市宮川高部,0266-76-2386,高部区,1972/12/26,
202142,400080086,長野県,茅野市,中村の二本松,ナカムラノニホンマツ,茅野市天然記念物（植物）,長野県茅野市湖東中村,0266-76-2386,中村区,1977/12/1,
202142,400080087,長野県,茅野市,達屋酢蔵神社境内社叢,タツヤスグラジンジャケイダイシャソウ,茅野市天然記念物（植物）,長野県茅野市ちの横内,0266-76-2386,達屋酢蔵神社評議委員会,1980/3/14,
202142,400080088,長野県,茅野市,神長官邸のみさく神境内社叢,ジンチョウカンテイノミサクジンケイダイシャソウ,茅野市天然記念物（植物）,長野県茅野市宮川高部,0266-76-2386,個人,1980/3/14,
202142,400080089,長野県,茅野市,中道の神明宮のサワラ,ナカミチノシンメイグウノサワラ,茅野市天然記念物（植物）,長野県茅野市泉野中道,0266-76-2386,中道区,1980/3/14,
202142,400080090,長野県,茅野市,笹原のシダレヤナギ,ササハラノシダレヤナギ,茅野市天然記念物（植物）,長野県茅野市湖東笹原,0266-76-2386,笹原区,1980/3/14,
202142,400080091,長野県,茅野市,頼岳寺山門前杉並木,ライガクジサンモンマエスギナミキ,茅野市天然記念物（植物）,長野県茅野市ちの上原,0266-76-2386,賴岳寺,1982/2/26,
202142,400080092,長野県,茅野市,だいもんじ・亀石周辺のカタクリの群生,ダイモンジ・カメイシシュウヘンノカタクリノグンセイ,茅野市天然記念物（植物）,長野県茅野市宮川西茅野,0266-76-2386,姫宮社ほか,1982/4/30,
202142,400080093,長野県,茅野市,長円寺のセンダンバノボダイジュ,チョウエンジノセンダンバノボダイジュ,茅野市天然記念物（植物）,長野県茅野市玉川穴山,0266-76-2386,長円寺,1983/4/26,
202142,400080094,長野県,茅野市,峰たたえのイヌザクラ,ミネタタエノイヌザクラ,茅野市天然記念物（植物）,長野県茅野市宮川高部,0266-76-2386,高部区,1988/7/29,
202142,400080095,長野県,茅野市,下菅沢の祖霊桜,シモスゲサワノソレイザクラ,茅野市天然記念物（植物）,長野県茅野市豊平下菅沢,0266-76-2386,個人,2018/10/24,
