行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問合せ先電話番号,URL,エリア,緯度,経度
市制20周年記念事業「豊岡のってECO」,2025/8/1,0:00,2025/8/3,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
柳まつり,2025/8/1,0:00,2025/8/2,23:59,柳の宮例大祭、神輿の巡行、稚児行列、豊岡おどり、豊岡商工会議所青年部フェスティバル等,柳の宮神社、豊岡駅通商店街(大開通),豊岡商工会議所,0796-22-4456,,豊岡,35.5439,134.82
おはなしランド　夏休み編,2025/8/2,10:30,2025/8/2,,読み聞かせ・夏の工作,図書館城崎分館,図書館城崎分館,0796-21-9072,,城崎,35.6284,134.8133
シールアートの世界を体験しよう,2025/8/2,13:30,2024/8/3,14:30,モンゴル「スフバートル広場」の夜景を描いた巨大な下絵にシールを貼る体験。,日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
第62回企画展　北但大震災100年－まちに刻まれた記憶－　展示解説,2025/8/2,,2025/8/2,,"担当学芸員が展示内容を詳しく解説します。
午前10時～、午後２時～の２回開催予定。",歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,36.968,132.6682
西日本医科学生総合体育大会ラグビー競技,2025/8/3,,2025/8/13,,"西日本の医学部、医科大学による総合体育大会（ラグビー競技）
",神鍋高原各グラウンド        　,一社）日高神鍋観光協会,0796-45-0800,,日高,35.4984,134.6768
平和を願う朗読劇・豊岡2025「祈り-1945」,2025/8/3,,2026/8/3,,"～永遠の平和と命の大切さを訴える朗読劇～
ヒロシマ・ナガサキの原爆被災の記録から、手記や詩歌で構成したオリジナル台本で上演する朗読劇の第18回公演。市民による上演実行委員会が、制作から朗読までを手がけ、学校やコミュニティーセンターでの公演も実施しています。

※ヒロシマ・ナガサキの原爆被害の写真パネル・文集など、展示を同時開催します。

入場料：一般 500円/高校生以下無料
託児あり",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,http://platz-npo.com/index.html,豊岡,35.5445,134.8149
キノコ・粘菌観察会,2025/8/3,9:30,2025/8/3,,キノコ・粘菌観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
そよかぜ朗読会,2025/8/3,10:30,2025/8/3,10:50,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
ZIMOTOMOフェス,2025/8/4,16:00,2025/8/4,20:45,"城崎振興局事業の城崎・港地域若者会議の取り組みで、20代前半の若者が城崎温泉ふるさと祭り実行委員会と連携して、「地元愛が深まる」ようなフェスを開催します。
フェスでは、ステージイベントと麦わら細工製作体験コーナーを実施します。
",喜多町駐車場,城崎振興局,0796-21-9065,,城崎,35.6268,134.8117
読書感想文を書いてみよう,2025/8/4,10:00,2025/8/4,12:00,読書感想文の書き方アドバイス,出石庁舎1階 第2会議室,図書館出石分館,0796-21-9010,,出石,35.4616,134.8747
城崎温泉ふるさと祭り,2025/8/4,16:00,2025/8/4,21:30,町をあげての盛大な祭り。円山川河畔で花火が打ち上げられ、温泉街にたくさんの露店が並びます。,城崎温泉街,豊岡市商工会城崎支部,0796-32-4411,,城崎,0,0
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/8/6,14:00,2025/8/6,15:00,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
YA!いこいの読書会,2025/8/8,14:00,2025/8/8,15:30,"テーマにあわせて自分の好きな本を持ち寄って感想や意見を語り合う
（対象は中学生から大学生）",図書館本館,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
神鍋Beer Night,2025/8/8,,2025/8/8,,"道の駅｢神鍋高原｣　恒例のビアガーデン
",道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,日高,35.4991,134.6751
市制20周年記念事業「豊岡のってECO」,2025/8/8,0:00,2025/8/17,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
出石焼×地酒フェア,2025/8/9,11:00,2025/8/9,16:30,"出石の名産である出石焼と北兵庫の地酒、出石の酒米フクノハナを使用した地酒を購入、試飲ができるコラボ企画を開催します。
出石焼の窯元で修行をしている、地域おこし協力隊員が作成した出石焼の酒器を購入した方には、試飲500円分無料券をプレゼントします。",出石庁舎前広場・市民ホール,出石振興局地域振興課,0796-21-9025,,出石,35.4618,134.8747
舞台創造講座,2025/8/9,,2025/8/11,,"舞台の基礎を気軽に学べる！【アートスクール～劇場を創る舞台技術～PART4】
講師：吉木均/藤田赤目/吉本有輝子/田上豊
参加費：有料
※詳細は豊岡市民プラザ公式HPを随時更新いたします。",豊岡市民プラザ,豊岡市民プラザ,0496-24-3000,http://platz-npo.com/index.html,豊岡,35.5445,134.8149
としょかんのじかん,2025/8/9,10:30,2025/8/9,12:00,おはなし会、図書館しごと体験,図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
どくだみ湯,2025/8/10,12:00,2025/8/10,,8月の季節湯,道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,日高,35.4991,134.6751
草木染体験,2025/8/10,9:30,2025/8/10,,野草を使った草木染,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
神鍋ジュニアサッカーサマーカーニバル,2025/8/13,,2025/8/15,,近畿一円のチームが集い交流を深める少年サッカー大会,全但バス但馬ドーム 神鍋高原内グラウンド,一社）日高神鍋観光協会,0796-45-0800,,日高,35.4936,134.6869
中･高生演劇創造ワークショップ,2025/8/15,,2025/8/17,,"中・高生対象の3日間集中ワークショップ。創作から制作発表まで、濃密な創作体験に一緒に挑戦してみませんか？
講師：田上豊
参加費：無料
対象：中学生/高校生
※詳細は決まり次第、豊岡市民プラザ公式HPを随時更新いたします。",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,http://platz-npo.com/index.html,豊岡,35.5444,134.8196
としょかん映画会,2025/8/15,10:30,2025/8/15,11:40,リボンの騎士[アニメ](63分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
としょかん映画会,2025/8/16,13:30,2025/8/16,14:40,リボンの騎士[アニメ](63分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
第14回世界ジオパークトレイルラン2025,2025/8/17,,2025/8/17,,大自然の造形美を楽しみながら走るトレイルレース。 距離は60km、40km、10km、6kmの4コース,但馬ドーム芝生広場（スタート・ゴール）,一社）日高神鍋観光協会,0796-45-0800,,日高,35.4935,134.6869
豊岡市但東消防団献血事業,2025/8/17,9:00,2025/8/17,15:00,豊岡市但東消防団（団長：宮垣博文）では、血液製剤の安定供給に貢献しようと、毎年夏に消防団員による献血活動を実施しています。団員のみならず市民の方も参加可能ですので、ご協力いただける方はぜひお越しください。,豊岡市役所但東庁舎,但東振興局地域振興課,0796-54-1000,,但東,35.4703,134.9501
東井義雄教育塾「講演会」,2025/8/17,13:30,2025/8/17,16:30,東井義雄の教えを企業の人材育成に取り入れた実践と、小学校4年生の社会科での授業実践の発表,但東市民センター,東井義雄記念館,0796-54-1000,https://toui-yoshio.org/,但東,35.4706,134.95
田んぼの学校,2025/8/17,9:30,2025/8/17,12:00,小川の生きもの探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
神戸大学児童文化研究会,2025/8/18,,2025/8/18,,"～親子で楽しむ人形劇。手遊びやお歌で遊ぼう！～
神戸大学児童文化研究会による人形劇の上演。
手遊びなど親子一緒に楽しめます！
入場料：無料
※詳細は豊岡市民プラザ公式HPを随時更新いたします。",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,http://platz-npo.com/index.html,豊岡,35.5445,134.8149
但馬ドームセンター棟ギャラリー,2025/8/22,,2025/9/11,,"「田中忍写真展」　出展団体：田中忍
",但馬ドームセンター棟ギャラリー,全但バス但馬ドーム,0796-45-1900,,日高,35.4933,134.6869
市制20周年記念事業「豊岡のってECO」,2025/8/22,0:00,2025/8/24,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
市民ふれあいのつどいパート１,2025/8/23,13:00,2025/8/23,15:50,"第１部　人権講演会　13：00～14：30
(1) ビデオ上映「あなたのいる庭」（35分）主演：南野　陽子さん
(2) テーマ『社会におけるこどもの人権
　 ～こどもが安心して暮らせる社会の実現をめざして～』
(3) 解説講師：雁金　準一さん（兵庫県人権啓発協会　研修講師）
第２部　人権　音楽とお話のつどい  14 : ４0～15 : 50
(1) テーマ『生きるを考える　～苦難を乗り越えて見つけた幸せ～』
(2) 講師：さくらいりょうこさん（オカリナ奏者・著者）※24時間テレビ・奇跡体験アンビリバボーにも出演された方です
(3) 内容：オカリナ演奏♪を交えながら、聴衆に「あなたは本当に幸せに向いていますか？」と問いかけ、自分で選ぶ大切さを伝えます。",豊岡市民プラザ　ほっとステージ,多様性推進・ジェンダーギャップ対策課,0796-23-0341,https://www.city.toyooka.lg.jp/kurashi/shogaisports/1005794/1019454/1033540.html,豊岡,35.5446,134.8149
当館学芸員によるシールアート作品解説会,2025/8/23,14:00,2025/8/23,15:00,展示担当者の当館学芸員が、現代美術家・大村雪乃氏によるシールアートの作品を解説する。,日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
但馬ドーム サマーミュージアム「親子ドローン操縦体験会」,2025/8/24,,2025/8/24,,農業や建設土木業界等さまざまな分野での活用が注目されているドローンの操縦体験会を実施,但馬ドーム エントランスホール及び屋外（屋外は晴天時のみ）,全但バス但馬ドーム ,0796-45-1900,,日高,35.4935,134.6869
第10回神鍋高原スイカまつり,2025/8/24,10:00,2025/8/24,,特産の神鍋スイカの販売、振る舞い他,道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,日高,35.4991,134.675
生きもの名付け会,2025/8/24,9:30,2025/8/24,,生きもの名付け会,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
出石としょかん･くらぶ,2025/8/24,14:00,2025/8/24,15:00,絵本の読み聞かせ、工作,図書館出石分館,図書館出石分館,0796-21-9010,,出石,35.4616,134.8752
いこいの読書会,2025/8/24,14:00,2025/8/24,15:30,"テーマにあわせて自分の好きな本を持ち寄って感想や意見を語り合う
(対象は高校生以上)",図書館本館,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/8/24,10:30,2025/8/24,11:30,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,但東,35.4702,134.9499
夏休み工作教室,2025/8/24,9:00,2025/8/24,11:30,"・ペットボトル工作
・木工クラフト
・竹の工作
・ランプシェード作り　等",クリーンパーク北但,クリーンパーク北但,0796-21-9110,http://www.hokutan.jp,竹野,35.5889,134.7275
市制20周年記念事業「豊岡のってECO」,2025/8/29,0:00,2025/8/31,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
但馬ドーム サマーミュージアム「親子ドローン操縦体験会」,2025/8/31,,2025/8/31,,農業や建設土木業界等さまざまな分野での活用が注目されているドローンの操縦体験会を実施,但馬ドーム エントランスホール及び屋外（屋外は晴天時のみ）,全但バス但馬ドーム ,0796-45-1900,,日高,35.4935,134.6869
あぜ道観察会,2025/8/31,9:30,2025/8/31,11:30,コウノトリの郷公園内やその周辺のあぜ道を歩きながら、その季節に見られるいろんな虫やカエル、草の名前を調べます。,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
市制20周年記念事業「豊岡のってECO」,2025/9/5,0:00,2025/9/5,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
ぬいぐるみのとしょかんおとまり会,2025/9/6,14:00,2025/9/7,,3歳から小学2年生を対象にしたぬいぐるみのお泊まり会。,図書館本館,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
キノコ・粘菌観察会,2025/9/7,9:30,2025/9/7,,キノコ・粘菌観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
そよかぜ朗読会,2025/9/7,10:30,2025/9/7,10:50,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
市制20周年記念事業「豊岡のってECO」,2025/9/10,0:00,2025/9/10,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/9/11,10:30,2025/9/11,11:30,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,日高,35.4703,134.7711
豊岡演劇祭2025,2025/9/11,,2025/9/23,,豊岡演劇祭は、劇場だけではなく温泉街、海岸、高原、神社の境内に設けられた木造の農村舞台など、まちのいたるところが舞台になるのが大きな特徴です。全国の舞台芸術ファンの期待に応えるプログラムに、国際共同企画、若手カンパニーやストリートパフォーマンスなども合わせると国内外から約70の団体がこの地に集まります。,豊岡市民プラザ、江原河畔劇場、芸術文化観光専門職大学、城崎国際アートセンター他,豊岡演劇祭実行委員会事務局（豊岡市役所観光文化部観光政策課）,0796-21-9016,https://toyooka-theaterfestival.jp/,市内全域,35.5443,134.8201
市制20周年記念事業「豊岡のってECO」,2025/9/12,0:00,2025/9/12,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
第95回企画展「旧高橋村『大兵庫開拓団』が入植した地にくらした人びと」,2025/9/13,9:30,2025/12/9,17:00,当時日本の支配下にあった「満州国」（現在の中国東北部及び内モンゴル自治区の一部）に約500名が分村移民した旧高橋村（現在の豊岡市但東町高橋地区）の「大兵庫開拓団」。彼らの集団入植の経緯とその生活について、あらためて資料と写真から振り返る。また、彼らが入植した「満州国浜江省蘭西県」（現在の中国黒竜江省綏化市蘭西県）を流れる呼蘭（フーラン）河一帯は、かつてモンゴルの人々が牧草や魚の採取地としてゆるやかに利用していた地域だった。原住諸民族の歩みに注目するとともに、500万人もの大量の日本人を「満州国」に移住させる計画が、現地に暮らす漢人農民やモンゴル遊牧民に何をもたらしたのかについても考えるきっかけとしたい。,日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,https://www3.city.toyooka.lg.jp/monpaku/,但東,35.4925,134.9946
ゲンゴロウ調査,2025/9/14,9:30,2025/9/14,,ゲンゴロウの調査,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/9/17,10:30,2025/9/17,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
市制20周年記念事業「豊岡のってECO」,2025/9/19,0:00,2025/9/19,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
としょかん映画会,2025/9/19,10:30,2025/9/19,12:30,ジョンQ(2002年/116分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
玄武洞公園ライトアップ,2025/9/20,17:00,2025/10/5,21:00,"期間限定で玄武洞公園の「玄武洞」と「青龍洞」のライトアップを行います。洞と光が織りなす神秘的な夜の玄武洞公園をお楽しみください。
開催日時：2025年９月20日（土）～10月５日（日）　17時～21時
※ 10月４日(土)は、特別公演チケット購入者のみ観覧可能
※ 17時までの通常入園から続けての観覧可能",玄武洞公園,玄武洞公園,0796-22-4774,,豊岡,35.5883,134.8042
としょかん映画会,2025/9/20,13:30,2025/9/20,15:30,ジョンQ(2002年/116分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,豊岡,35.541,134.8219
田んぼの学校,2025/9/21,9:30,2025/9/21,12:00,バッタ・イナゴ探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/9/22,14:00,2025/9/22,15:00,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,城崎,35.6284,134.8133
市制20周年記念事業「豊岡のってECO」,2025/9/26,0:00,2025/9/26,,「豊岡のってECO」に合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円（小学生250円）。,豊岡市役所,都市整備課,0796-23-1712,https://www.city.toyooka.lg.jp/kurashi/dorokotsu/kotsusokushin/1033492.html,市内全域,35.5445,134.8202
ボートサミット・全国市町村交流レガッタ豊岡大会,2025/9/27,,2025/9/28,,全国ボート場所在市町村協議会に加盟する市町が参加する全国大会。兵庫県立円山川公苑特設会場（円山川）において、交流レガッタ大会を開催する。,兵庫県立円山川公苑特設会場,ボートサミット・全国市町村交流レガッタ豊岡大会実行委員会,0796-21-9023,,城崎,35.5444,134.8202
植物観察会,2025/9/28,9:30,2025/9/28,11:30,植物の観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,豊岡,35.5514,134.8552
出石としょかん･くらぶ,2025/9/28,14:00,2025/9/28,15:00,絵本の読み聞かせ、工作,図書館出石分館,図書館出石分館,0796-21-9010,,出石,35.4616,134.8752
第15回永楽館歌舞伎,2025/9/30,,2025/10/5,,演目は未定です。,出石永楽館,出石永楽館,0796-52-5300,,出石,35.462,134.8716
